year,university,school,course,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,course_category
2013,National University of Singapore,Faculty of Engineering,engineering (materials science and engineering),90.9,87.9,3036.0,3000.0,3169.0,3000.0,3000.0,3260.0,Engineering
2013,National University of Singapore,Faculty of Engineering,engineering (mechanical engineering),89.1,87.2,3155.0,3000.0,3319.0,3225.0,3000.0,3500.0,Engineering
2013,National University of Singapore,Faculty of Law,laws (llb),98.8,98.2,4922.0,4800.0,5099.0,5000.0,4500.0,5800.0,Law
2013,National University of Singapore,YLL School of Medicine,medicine and surgery (mbbs),100.0,100.0,4406.0,4500.0,4741.0,4500.0,4500.0,5200.0,Medicine
2013,National University of Singapore,YLL School of Medicine,science (nursing),97.5,97.5,2687.0,2750.0,2886.0,2950.0,2700.0,3050.0,Health Sciences
2013,National University of Singapore,YLL School of Medicine,science (nursing),100.0,100.0,2896.0,3000.0,3042.0,3025.0,3000.0,3200.0,Health Sciences
2013,National University of Singapore,Faculty of Science,applied science,97.3,97.3,2850.0,2750.0,2925.0,2900.0,2600.0,3255.0,Sciences
2013,National University of Singapore,Faculty of Science,science,80.9,65.1,2726.0,2700.0,2804.0,2800.0,2600.0,3000.0,Sciences
2013,National University of Singapore,Faculty of Science,science,83.6,74.0,3101.0,3000.0,3217.0,3100.0,2868.0,3500.0,Sciences
2013,National University of Singapore,Faculty of Science,science (pharmacy),96.4,96.4,3473.0,3500.0,3540.0,3500.0,3350.0,3750.0,Sciences
2013,Singapore Management University,School of Accountancy (4-year programme) *,accountancy,94.2,93.2,3231.0,2800.0,3342.0,2825.0,2700.0,3430.0,Accountancy
2013,Singapore Management University,School of Accountancy (4-year programme) *,accountancy,95.2,95.2,3580.0,2900.0,3634.0,3000.0,2700.0,3750.0,Accountancy
2013,Singapore Management University,School of Business (4-year programme) *,business management,93.2,87.3,3344.0,3000.0,3520.0,3200.0,2800.0,3750.0,Business & Administration
2013,Singapore Management University,School of Business (4-year programme) *,business management,95.9,93.8,3825.0,3500.0,3975.0,3580.0,3000.0,4100.0,Business & Administration
2013,Singapore Management University,School of Economics (4-year programme) *,economics,90.6,88.6,3389.0,3200.0,3513.0,3339.0,3000.0,3800.0,Arts & Social Sciences
2013,Singapore Management University,School of Economics (4-year programme) *,economics,94.0,94.0,3731.0,3500.0,3820.0,3600.0,3250.0,4000.0,Arts & Social Sciences
2013,Singapore Management University,School of Information Systems (4-year programme) *,information systems management,93.6,89.5,3389.0,3300.0,3468.0,3300.0,3000.0,3800.0,Information Technology
2013,Singapore Management University,School of Information Systems (4-year programme) *,information systems management,100.0,90.9,3786.0,3725.0,3862.0,3800.0,3500.0,4000.0,Information Technology
2013,Singapore Management University,School of Social Sciences (4-year programme) *,social sciences,86.5,79.8,3122.0,3000.0,3150.0,3000.0,2600.0,3320.0,Sciences
2013,Singapore Management University,School of Social Sciences (4-year programme) *,social sciences,87.5,83.3,3251.0,3200.0,3267.0,3200.0,2800.0,3781.0,Sciences
2013,Singapore Management University,School of Law (4-year programme) *,law,100.0,100.0,5023.0,4800.0,5246.0,5000.0,4500.0,6000.0,Law
2013,Singapore Management University,School of Law (4-year programme) *,law,100.0,100.0,5329.0,5000.0,5617.0,5547.0,4750.0,6400.0,Law
2014,Nanyang Technological University,College of Business (Nanyang Business School),accountancy and business,98.2,95.6,3539.0,3300.0,3597.0,3300.0,2900.0,4000.0,Accountancy
2014,Nanyang Technological University,College of Business (Nanyang Business School),accountancy,96.6,96.1,2981.0,2800.0,3003.0,2840.0,2700.0,3000.0,Accountancy
2014,Nanyang Technological University,College of Business (Nanyang Business School),business,89.6,80.2,3231.0,3000.0,3318.0,3100.0,2800.0,3600.0,Business & Administration
2014,Nanyang Technological University,College of Business (Nanyang Business School),business and computing,92.9,89.3,3398.0,3400.0,3431.0,3450.0,3232.0,4000.0,Information Technology
2014,Nanyang Technological University,College of Engineering,bioengineering,79.8,69.7,2998.0,3000.0,3188.0,3000.0,2825.0,3400.0,Engineering
2014,Nanyang Technological University,College of Engineering,chemical and biomolecular engineering,83.8,76.1,3296.0,3250.0,3415.0,3400.0,3200.0,3575.0,Engineering
2014,Nanyang Technological University,College of Engineering,computer engineering,91.4,88.8,3423.0,3300.0,3512.0,3400.0,3200.0,3800.0,Information Technology
2014,Nanyang Technological University,College of Engineering,civil engineering,93.8,92.9,3122.0,3000.0,3152.0,3100.0,3000.0,3300.0,Engineering
2014,Nanyang Technological University,College of Engineering,computer science,94.5,93.7,3269.0,3200.0,3304.0,3200.0,3000.0,3700.0,Information Technology
2014,Nanyang Technological University,College of Engineering,electrical and electronic engineering,90.7,88.4,3241.0,3175.0,3336.0,3200.0,3000.0,3500.0,Engineering
2014,Nanyang Technological University,College of Engineering,environmental engineering,88.9,82.2,3121.0,3000.0,3111.0,3000.0,3000.0,3500.0,Engineering
2014,Nanyang Technological University,College of Engineering,information engineering and media,85.7,73.2,3185.0,3000.0,3318.0,3200.0,3000.0,3600.0,Engineering
2014,Nanyang Technological University,College of Engineering,materials engineering,82.5,77.7,3145.0,3000.0,3261.0,3150.0,3000.0,3410.0,Engineering
2014,Nanyang Technological University,College of Engineering,mechanical engineering,90.2,87.8,3161.0,3000.0,3289.0,3100.0,3000.0,3500.0,Engineering
2014,Nanyang Technological University,College of Engineering,maritime studies,92.5,92.5,3163.0,3050.0,3206.0,3050.0,3000.0,3500.0,Others
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","art, design and media",80.0,68.0,2761.0,2600.0,2791.0,2700.0,2300.0,3000.0,Others
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",chinese,86.8,75.8,2927.0,3000.0,3006.0,3000.0,2700.0,3300.0,Others
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",communication studies,86.7,77.9,2891.0,2800.0,2976.0,3000.0,2600.0,3294.0,Others
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",economics,88.7,78.4,3183.0,3075.0,3222.0,3200.0,3000.0,3500.0,Arts & Social Sciences
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",english,87.0,63.0,3137.0,3000.0,3432.0,3100.0,2800.0,3990.0,Others
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",linguistics and multilingual studies,85.7,66.7,3066.0,3000.0,3148.0,3230.0,2800.0,3500.0,Arts & Social Sciences
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",psychology,66.7,54.9,3197.0,3100.0,3228.0,3100.0,2800.0,3500.0,Arts & Social Sciences
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",sociology,73.2,67.9,3002.0,3000.0,3143.0,3100.0,2800.0,3260.0,Arts & Social Sciences
2014,Nanyang Technological University,College of Sciences,biomedical science (traditional chinese medicine),100.0,100.0,2974.0,2900.0,3018.0,2900.0,2786.0,3400.0,Medicine
2014,Nanyang Technological University,College of Sciences,biological sciences,75.1,60.8,3083.0,3000.0,3174.0,3000.0,2800.0,3400.0,Sciences
2014,Nanyang Technological University,College of Sciences,chemistry and biological chemistry,80.5,68.3,3006.0,3000.0,3321.0,3100.0,2800.0,3400.0,Sciences
2014,Nanyang Technological University,College of Sciences,mathematics and economics,88.4,87.0,3155.0,3200.0,3142.0,3200.0,2800.0,3500.0,Sciences
2014,Nanyang Technological University,College of Sciences,mathematical science,91.3,79.7,3022.0,3000.0,3078.0,3200.0,2800.0,3300.0,Sciences
2014,Nanyang Technological University,College of Sciences,physics / applied physics,73.7,63.2,3034.0,3000.0,3241.0,3100.0,2800.0,3560.0,Sciences
2014,Nanyang Technological University,College of Sciences,sports science and management,87.9,69.7,3076.0,2800.0,3229.0,3000.0,2700.0,3590.0,Business & Administration
2014,Nanyang Technological University,National Institute of Education (NIE),science (with education),100.0,100.0,3358.0,3400.0,3475.0,3475.0,3400.0,3750.0,Education
2014,Nanyang Technological University,National Institute of Education (NIE),arts (with education),100.0,100.0,3388.0,3400.0,3536.0,3475.0,3400.0,3700.0,Education
2014,National University of Singapore,Faculty of Arts & Social Sciences,arts,81.9,65.3,2719.0,2750.0,2883.0,2800.0,2500.0,3010.0,Arts & Social Sciences
2014,National University of Singapore,Faculty of Arts & Social Sciences,arts,83.1,76.6,3141.0,3210.0,3277.0,3300.0,3000.0,3600.0,Arts & Social Sciences
2014,National University of Singapore,Faculty of Arts & Social Sciences,social sciences,88.7,80.1,3192.0,3200.0,3304.0,3250.0,3000.0,3600.0,Sciences
2014,National University of Singapore,NUS Business School,business administration,87.9,83.6,3234.0,3000.0,3367.0,3000.0,2800.0,3300.0,Business & Administration
2014,National University of Singapore,NUS Business School,business administration,94.4,90.6,3979.0,3500.0,4090.0,3520.0,3200.0,4300.0,Business & Administration
2014,National University of Singapore,NUS Business School,business administration (accountancy),93.9,89.8,2836.0,2800.0,2989.0,2838.0,2700.0,3000.0,Accountancy
2014,National University of Singapore,NUS Business School,business administration (accountancy),100.0,96.3,3350.0,2850.0,3407.0,2912.0,2800.0,3614.0,Accountancy
2014,National University of Singapore,School of Computing,computing (communications and media),82.1,82.1,3107.0,3000.0,3129.0,3088.0,2900.0,3300.0,Information Technology
2014,National University of Singapore,School of Computing,computing (computer science),90.6,85.9,3729.0,3500.0,3712.0,3500.0,3300.0,4000.0,Information Technology
2014,National University of Singapore,School of Computing,computing (electronic commerce),85.7,85.7,3183.0,3000.0,3386.0,3200.0,3000.0,3500.0,Information Technology
2014,National University of Singapore,School of Computing,computing (information systems),95.5,92.0,3684.0,3352.0,3789.0,3500.0,3100.0,4039.0,Information Technology
2014,National University of Singapore,Faculty of Dentistry,dental surgery,100.0,100.0,4054.0,4000.0,4054.0,4000.0,4000.0,4020.0,Dentistry
2014,National University of Singapore,School of Design & Environment,arts (architecture),98.4,95.2,4290.0,4200.0,4400.0,4275.0,4000.0,4750.0,Architecture & Built Environment
2014,National University of Singapore,School of Design & Environment,arts (industrial design),77.3,59.1,2600.0,2550.0,2603.0,2565.0,2200.0,3000.0,Arts & Social Sciences
2014,National University of Singapore,School of Design & Environment,science (project and facilities management),95.3,94.1,3089.0,3000.0,3181.0,3000.0,2900.0,3360.0,Business & Administration
2014,National University of Singapore,School of Design & Environment,science (real estate),93.1,89.2,2931.0,2950.0,3108.0,3000.0,2750.0,3300.0,Architecture & Built Environment
2014,National University of Singapore,Faculty of Engineering,engineering (biomedical engineering),87.5,77.1,2966.0,3000.0,3058.0,3000.0,2700.0,3300.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (chemical engineering),83.9,76.4,3277.0,3200.0,3434.0,3300.0,3000.0,3650.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (civil engineering),97.1,97.1,3212.0,3200.0,3281.0,3208.0,3000.0,3500.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (computer engineering),95.2,92.4,3674.0,3500.0,3762.0,3500.0,3200.0,4080.0,Information Technology
2014,National University of Singapore,Faculty of Engineering,engineering (electrical engineering),90.6,88.1,3306.0,3200.0,3571.0,3300.0,3000.0,3800.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (engineering science),81.3,62.5,3375.0,3300.0,3465.0,3400.0,3275.0,3790.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (environmental engineering),95.2,92.9,3250.0,3200.0,3215.0,3230.0,3000.0,3422.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (industrial and systems engineering),96.5,96.5,3591.0,3350.0,3719.0,3600.0,3200.0,4000.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (materials science and engineering),78.6,73.8,3054.0,3100.0,3350.0,3300.0,3000.0,3600.0,Engineering
2014,National University of Singapore,Faculty of Engineering,engineering (mechanical engineering),90.0,88.5,3160.0,3100.0,3323.0,3200.0,3000.0,3500.0,Engineering
2014,National University of Singapore,Faculty of Law,laws (llb),98.2,97.6,5027.0,5000.0,5247.0,5150.0,4800.0,5800.0,Law
2014,National University of Singapore,YLL School of Medicine,medicine and surgery,100.0,100.0,4404.0,4500.0,4886.0,5000.0,4500.0,5200.0,Medicine
2014,National University of Singapore,YLL School of Medicine,science (nursing),100.0,95.6,2976.0,3000.0,3188.0,3200.0,3050.0,3386.0,Health Sciences
2014,National University of Singapore,YLL School of Medicine,science (nursing),100.0,100.0,3123.0,3270.0,3353.0,3500.0,3270.0,3600.0,Health Sciences
2014,National University of Singapore,Faculty of Science,applied science,95.5,81.8,2760.0,2750.0,2831.0,2800.0,2600.0,3000.0,Sciences
2014,National University of Singapore,Faculty of Science,science,76.8,61.4,2804.0,2800.0,2973.0,3000.0,2700.0,3200.0,Sciences
2014,National University of Singapore,Faculty of Science,science,86.6,75.8,3224.0,3200.0,3328.0,3210.0,2950.0,3600.0,Sciences
2014,National University of Singapore,Faculty of Science,science (pharmacy),98.9,96.7,3467.0,3500.0,3670.0,3630.0,3470.0,4000.0,Sciences
2014,Singapore Management University,School of Accountancy (4-year programme) *,accountancy,93.6,91.4,3375.0,2850.0,3420.0,2875.0,2722.0,3614.0,Accountancy
2014,Singapore Management University,School of Accountancy (4-year programme) *,accountancy,97.4,96.1,3871.0,3450.0,3903.0,3500.0,2875.0,4300.0,Accountancy
2014,Singapore Management University,School of Business (4-year programme) *,business management,90.9,86.4,3630.0,3250.0,3752.0,3333.0,3000.0,4000.0,Business & Administration
2014,Singapore Management University,School of Business (4-year programme) *,business management,94.5,94.0,4019.0,3500.0,4116.0,3600.0,3200.0,4500.0,Business & Administration
2014,Singapore Management University,School of Economics (4-year programme) *,economics,90.2,83.9,3525.0,3500.0,3645.0,3500.0,3175.0,4000.0,Arts & Social Sciences
2014,Singapore Management University,School of Economics (4-year programme) *,economics,90.6,89.1,3815.0,3800.0,3824.0,3800.0,3300.0,4350.0,Arts & Social Sciences
2014,Singapore Management University,School of Information Systems (4-year programme) *,information systems management,92.9,80.6,3431.0,3225.0,3530.0,3350.0,3000.0,4000.0,Information Technology
2014,Singapore Management University,School of Information Systems (4-year programme) *,information systems management,97.4,84.2,4057.0,4000.0,4151.0,4050.0,3500.0,4540.0,Information Technology
2014,Singapore Management University,School of Social Sciences (4-year programme) *,social sciences,90.9,84.1,2981.0,3000.0,3166.0,3000.0,2800.0,3580.0,Sciences
2014,Singapore Management University,School of Social Sciences (4-year programme) *,social sciences,87.5,81.3,3331.0,3215.0,3545.0,3590.0,3000.0,3955.0,Sciences
2014,Singapore Management University,School of Law (4-year programme) *,law,97.8,95.6,4932.0,4800.0,5332.0,5025.0,4600.0,5950.0,Law
2014,Singapore Management University,School of Law (4-year programme) *,law,97.7,97.7,5089.0,4900.0,5571.0,5800.0,4800.0,6000.0,Law
2014,Singapore Institute of Technology,DigiPen Institute of Technology,arts in game design,100.0,86.7,2490.0,2700.0,2490.0,2700.0,2575.0,2800.0,Arts & Social Sciences
2014,Singapore Institute of Technology,DigiPen Institute of Technology,fine arts in digital arts and animation,90.6,84.4,2586.0,2600.0,2603.0,2600.0,2300.0,2885.0,Arts & Social Sciences
2014,Singapore Institute of Technology,DigiPen Institute of Technology,science in computer science and game design,100.0,100.0,2932.0,2875.0,2955.0,2975.0,2800.0,3075.0,Information Technology
2014,Singapore Institute of Technology,DigiPen Institute of Technology,science in computer science in real-time interactive simulation,100.0,100.0,2859.0,3000.0,2910.0,3000.0,2700.0,3300.0,Information Technology
2014,Singapore Institute of Technology,The Glasgow School of Art,arts with in communication design,89.1,78.3,2547.0,2500.0,2595.0,2500.0,2400.0,2800.0,Arts & Social Sciences
2014,Singapore Institute of Technology,The Glasgow School of Art,arts with in interior design,93.9,90.9,2553.0,2500.0,2583.0,2500.0,2373.0,2800.0,Arts & Social Sciences
2014,Singapore Institute of Technology,Newcastle University,engineering with in chemical engineering,90.1,84.5,3041.0,3000.0,3325.0,3300.0,3000.0,3650.0,Engineering
2014,Singapore Institute of Technology,Newcastle University,engineering with in marine engineering,92.6,88.9,3208.0,3100.0,3334.0,3260.0,3003.0,3594.0,Engineering
2014,Singapore Institute of Technology,Newcastle University,engineering with in mechanical design and manufacturing engineering,97.1,85.7,3196.0,3000.0,3273.0,3100.0,3000.0,3338.0,Engineering
2014,Singapore Institute of Technology,Newcastle University,engineering with in naval architecture,100.0,94.1,3293.0,3355.0,3467.0,3500.0,3233.0,3675.0,Architecture & Built Environment
2014,Singapore Institute of Technology,Newcastle University,engineering with in offshore engineering,91.3,91.3,3311.0,3200.0,3467.0,3300.0,3075.0,3625.0,Engineering
2014,Singapore Institute of Technology,Newcastle University,science with in food and human nutrition,75.0,61.4,2806.0,2750.0,2854.0,2800.0,2500.0,3170.0,Sciences
2014,Singapore Institute of Technology,Technische Universität München,science in chemical engineering,86.7,86.7,2954.0,2900.0,3285.0,3200.0,2950.0,3755.0,Engineering
2014,Singapore Institute of Technology,Technische Universität München,science in electrical engineering and information technology,85.7,82.1,3072.0,2900.0,3141.0,3000.0,2800.0,3480.0,Information Technology
2014,Singapore Institute of Technology,The Culinary Institute of America,professional studies in culinary arts management,89.3,89.3,2430.0,2400.0,2503.0,2500.0,2200.0,2600.0,Business & Administration
2014,Singapore Institute of Technology,Trinity College Dublin,bachelor in science (occupational therapy),100.0,100.0,3127.0,3100.0,3151.0,3100.0,3000.0,3338.0,Health Sciences
2014,Singapore Institute of Technology,Trinity College Dublin,bachelor in science (physiotherapy),100.0,100.0,3204.0,3200.0,3229.0,3200.0,3000.0,3500.0,Health Sciences
2014,Singapore Institute of Technology,University of Glasgow,engineering with in aeronautical engineering,88.0,88.0,3396.0,3000.0,3415.0,3000.0,2849.0,4194.0,Engineering
2014,Singapore Institute of Technology,University of Glasgow,engineering with in aerospace systems,85.7,75.0,3217.0,3100.0,3333.0,3150.0,2900.0,3500.0,Engineering
2014,Singapore Institute of Technology,University of Glasgow,engineering with in mechanical design engineering,92.3,92.3,3229.0,3000.0,3424.0,3250.0,2950.0,3556.0,Engineering
2014,Singapore Institute of Technology,University of Glasgow,engineering with in mechatronics,93.0,87.3,3067.0,3050.0,3209.0,3100.0,2964.0,3443.0,Engineering
2014,Singapore Institute of Technology,University of Manchester,science with in nursing practice,97.2,94.4,3230.0,3260.0,3464.0,3511.0,3115.0,3860.0,Health Sciences
2014,Singapore Institute of Technology,"University of Nevada, Las Vegas",science (major in hospitality management),88.8,78.0,2445.0,2500.0,2634.0,2500.0,2300.0,2900.0,Business & Administration
2014,Singapore Institute of Technology,Wheelock College,science in early childhood education,97.1,97.1,2509.0,2600.0,2553.0,2600.0,2475.0,2613.0,Education
2015,Nanyang Technological University,College of Business (Nanyang Business School),accountancy and business,98.6,97.3,4225.0,3500.0,4438.0,3770.0,3000.0,4850.0,Accountancy
2015,Nanyang Technological University,College of Business (Nanyang Business School),accountancy,97.3,96.5,3182.0,2850.0,3240.0,2875.0,2850.0,3125.0,Accountancy
2015,Nanyang Technological University,College of Business (Nanyang Business School),business,92.2,87.6,3343.0,3100.0,3502.0,3200.0,2900.0,3700.0,Business & Administration
2015,Nanyang Technological University,College of Business (Nanyang Business School),business and computing,100.0,100.0,4036.0,4184.0,4395.0,4583.0,3800.0,4876.0,Information Technology
2015,Nanyang Technological University,College of Engineering,aerospace engineering,86.0,86.0,3699.0,3650.0,3724.0,3700.0,3450.0,4000.0,Engineering
